pH,Temp,Voltage,QC
2.18,44.41,18.96,0
1.84,44.25,15.61,0
2,42.93,16.32,0
2.19,40.31,16.53,0
2.19,42.54,15.4,0
2.19,43.42,17.86,0
1.95,43.85,17.67,0
2.16,43.56,19.88,0
2.18,41.21,18.23,0
1.85,44.39,15.41,0
2.09,42.35,17.61,0
1.88,43.25,18.88,0
2.02,40.22,17.19,0
2.16,40.25,19.72,0
2.03,44.2,15.66,0
2.12,44.22,16.66,0
2.06,44.95,17.42,0
1.93,40.92,16.85,0
2.15,42.81,15.34,0
1.89,40.07,15.18,0
1.82,42.86,19.46,0
2.14,43.3,19.73,0
2.13,43.08,18.87,0
1.83,44.92,19.76,0
2.09,40.61,18.92,0
1.93,41.67,16.28,0
2.06,42.31,18.66,0
1.94,41.88,15.37,0
1.85,40.76,18.19,0
1.82,44.09,18.2,0
2.09,43.12,16.07,0
2,42.37,16.78,0
1.97,42.57,17.75,0
1.95,43.91,18.01,0
2.17,40.36,19.1,0
2.03,43.23,16.87,0
1.87,43.74,17.77,0
2.07,44.96,15.51,0
1.86,42.78,19.45,0
2.03,44.14,19.76,0
2.04,43.65,16.5,0
1.88,44.13,17.34,0
1.83,42.98,15.44,0
1.83,41.97,16.63,0
1.88,41.39,16.85,0
2.19,40.54,18.44,0
2.06,42.1,19.11,0
1.95,41.82,15.07,0
2.13,41.86,15.52,0
1.85,43.45,18.67,0
2.07,43.61,19.05,0
2.01,42.63,18.71,0
1.93,41.14,19.87,0
1.88,40.58,15.14,0
2.11,41.78,19.54,0
2.16,44.03,18.03,0
2.03,42.64,15.35,0
2.07,42.76,17.29,0
2.17,42.11,18.53,0
2.11,43.96,16.75,0
2.18,44.02,16.9,0
1.84,42.07,18.43,0
1.9,42.73,19.74,0
1.91,40.21,19.26,0
1.91,43.38,18.16,0
1.87,40.07,18.43,0
2.09,40.66,19.84,0
2.19,41.2,19.51,0
1.96,43.86,19.11,0
2.14,41.05,18.15,0
2.07,44.49,17.3,0
1.81,43.72,19.19,0
1.96,40.62,15.49,0
1.89,43.19,19.35,0
2.13,41.62,19.37,0
2.07,42.37,16.18,0
2.17,40.31,18.31,0
2.41,41.36,15.03,0
2.19,40.96,19.37,0
2.16,43.49,17.81,0
1.9,40.13,18.16,0
2.04,43.82,18.87,0
2.1,42.64,19.15,0
2.08,44.05,19.23,0
2.16,41.31,18.07,0
2.06,42.88,15.18,0
1.94,40.63,16.93,0
1.95,40.45,19.9,0
2.05,40.96,18.61,0
2.18,44.28,17.05,0
1.93,43.41,15.05,0
1.97,44.79,19.99,0
2.04,42.66,18.65,0
1.92,43.71,19.01,0
1.86,40.46,17.26,0
1.98,42.5,17.23,0
2.26,40.59,18.55,0
1.98,42.62,19.95,0
2.14,41.1,18.52,0
1.96,40.79,16.56,0
2.07,44.59,16.77,0
2.06,44.24,19.09,0
2.18,43.16,15.02,0
2.1,44.02,19.72,0
1.97,40.59,18.53,0
1.99,40.38,16.33,0
1.83,43.74,17.33,0
1.92,41.72,17.68,0
1.97,44.46,17,0
1.9,44.5,19.62,0
1.92,40.95,16.24,0
2.26,43.98,12.35,0
2.12,42.76,16.39,0
2.02,43.52,17.08,0
2.16,41.97,15.66,0
2.1,44.92,18.6,0
2.09,44.89,17.75,0
1.91,41.8,18.81,0
2.07,41.95,17.67,0
1.95,43.44,19.52,0
1.91,41.53,18.31,0
2.05,42.56,18.18,0
2.05,40.52,19.02,0
2.1,41.62,19.93,0
2.04,41.84,19.44,0
1.99,40.47,18.19,0
2.13,41.81,16.07,0
1.99,43.04,17.79,0
2.17,42,15.21,0
2.05,44.01,16.17,0
2.06,43.49,17.33,0
2.11,41.12,18.62,0
2.08,44.89,15.58,0
2.18,41.88,16.52,0
2.08,41.29,18.4,0
1.94,42.24,16.89,0
2.03,43.01,17.33,0
2.11,40.8,17.89,0
1.91,42.41,16.81,0
2,41.85,18.43,0
1.94,36.65,17.81,0
2.16,41.22,16.93,0
1.84,41.17,17.74,0
1.87,41.95,17.22,0
2.08,42.25,17.56,0
2.08,40.11,16.04,0
2.03,42.6,16.26,0
1.86,42.95,15.05,0
1.95,43.56,17.17,0
1.87,44.92,17.17,0
2.13,41.39,15.37,0
2.08,40.64,19.81,0
2.19,42.96,17.18,0
2.06,44.41,19.09,0
1.83,42.42,18.89,0
1.97,43.05,18.65,0
2.12,40.99,17.58,0
1.98,43.97,16.89,0
1.88,43.49,16.73,0
2.1,44.95,16.56,0
2.11,40.49,17.1,0
1.94,43.07,16.34,0
1.93,43.29,15.27,0
1.9,42.51,18.54,0
1.83,40.81,19.26,0
2.18,41.45,17.59,0
1.96,40.45,17.22,0
2.06,43.36,17.6,0
1.98,40.7,17.68,0
1.88,42.92,15.15,0
1.95,43.51,18.48,0
2.17,43.52,17.79,0
1.97,40.26,19.66,0
1.98,43,16.75,0
2.05,44.11,15.28,0
2.07,41.68,17.3,0
1.85,41.96,16.05,0
1.87,41.12,17.77,0
2.07,41.42,17.81,0
2.03,43.03,15.03,0
1.9,43.27,17.28,0
2,44.11,17.71,0
1.93,44.57,17.8,0
2.08,42.47,17.87,0
2.02,40.75,17.79,0
2.16,41.25,17.02,0
1.86,44.06,19.01,0
1.95,43.9,19,0
1.88,44.53,16.84,0
1.92,44.84,18.65,0
2.1,44.61,16.19,0
2.06,41.27,16.34,0
1.98,44.77,16.6,0
2.18,43.55,15.4,0
1.91,44.25,17.52,0
2.16,43.73,18.32,0
2.14,44.06,16.86,0
1.84,43.27,19.03,0
2.18,43.58,17.2,0
2.14,43.41,19.36,0
2.02,43.08,18.71,0
2.05,41.71,18.18,0
2.18,40.99,17.82,0
1.82,40.55,17.57,0
2.06,42.14,19.74,0
2.16,43.26,17.41,0
2.41,37.48,18.83,0
2.15,43.76,17.09,0
2.17,43.45,16.14,0
1.89,42.01,15.37,0
2.02,42.48,18.02,0
2.1,44.79,16.21,0
1.99,41.22,15.1,0
1.93,43.98,15.31,0
1.82,44.7,19.23,0
2.1,44.2,19.22,0
2.11,41.28,16.58,0
2.03,44.61,19.96,0
2.04,41.93,15.12,0
2.14,44.72,16.06,0
2.16,41.86,17.39,0
1.89,42.58,19.57,0
1.82,41.13,16.83,0
1.85,43.92,19.55,0
2.04,42.53,16.77,0
1.85,41.32,16.46,0
1.9,42.82,18.85,0
2.13,40.59,18.02,0
1.95,40.53,18.58,0
2.15,40.09,15.12,0
1.83,41.36,17.2,0
2.44,42.17,19.28,0
1.91,43.79,16.73,0
2.29,44.76,17.66,0
1.85,44.54,19.75,0
1.99,44.72,16.4,0
1.91,40.58,15.87,0
1.97,40.33,18.65,0
2.13,40.3,18.64,0
2.05,44.76,15.56,0
2.01,44.42,15.42,0
1.89,40.36,18.53,0
2.07,44.99,18.56,0
2.17,40.28,17.1,0
2.09,43.62,19.55,0
1.94,41.28,15.15,0
1.99,40.58,19.48,0
1.88,43.27,15.94,0
1.83,42.28,15.65,0
1.85,43.56,18.27,0
2.07,41.13,15.32,0
2.02,43.8,19.31,0
2.02,40.14,18.62,0
2.1,43.09,16.72,0
2,40.83,16.43,0
1.91,43.59,16.62,0
2.19,41.21,17.13,0
1.9,44.26,15.47,0
2.17,43.2,17.84,0
1.85,43.62,16.1,0
2.05,40.86,18.78,0
1.85,43.2,16.75,0
2.13,44.61,15.98,0
2.19,42.59,17.39,0
1.87,41.79,19.8,0
1.84,43.18,19.88,0
1.89,44.15,18.72,0
2.17,40.44,16.16,0
2.17,43.85,18.77,0
1.84,43.89,16,0
2.09,42.17,17.04,0
2.19,40.04,17,0
1.86,43.11,16.42,0
1.85,42.6,19.05,0
1.82,42.63,15.75,0
1.92,43.69,17.97,0
1.93,41.6,17.2,0
1.82,42.26,17.34,0
1.87,40.46,17.22,0
1.95,41.33,16.63,0
1.81,41.19,17.14,0
2.11,41.19,17.15,0
2.17,43.56,15.49,0
2.1,41.15,19.88,0
1.83,40.24,16.48,0
1.81,41.61,18.6,0
2.13,40.06,16.53,0
1.92,42.49,18.62,0
2.18,43.97,16.36,0
2.04,42.96,18.16,0
1.95,43.55,17.41,0
2.14,44.36,19.86,0
2.04,41.08,15.7,0
1.97,41.68,18.45,0
2.18,42.17,17.89,0
1.81,42.93,15.56,0
2.17,41.62,18.25,0
1.93,41.27,19.49,0
2.14,44.48,18.83,0
1.9,42.59,19.92,0
2.1,40.72,15.79,0
2.08,42.77,16.77,0
1.82,41.48,18.01,0
2.04,40.15,15.46,0
1.92,41.11,18.99,0
1.89,40.36,16.43,0
2.05,41.1,16.19,0
2,44.15,15.52,0
1.87,40.08,19.32,0
2.15,41.78,17.17,0
1.96,42.41,18.93,0
2.13,42.88,19.43,0
2,40.05,17.3,0
1.95,43.21,17.08,0
1.81,41.39,17.68,0
2.18,42.17,17.44,0
2.08,41.43,17.05,0
1.81,40.24,15.96,0
1.91,42.46,15.78,0
1.89,41.04,18.17,0
2.18,43.44,15.73,0
2.18,42.6,18.28,0
2.03,44,18.16,0
2.07,41.96,17.47,0
1.84,44.89,19.53,0
2.07,44.65,16.33,0
2.09,41.21,19.94,0
2.09,42.57,17.21,0
2.18,42.78,16.64,0
2.02,41.23,15.42,0
2.46,37.09,17.14,0
2.11,41.73,18.71,0
2.15,44.99,19.4,0
2.05,43.28,15.88,0
1.96,41.62,16.74,0
1.92,43.88,16.58,0
1.95,44.2,15.8,0
1.83,42.16,15.02,0
2.19,41,17.18,0
2.12,42.21,19.3,0
2.02,43.76,18.98,0
2.14,41.81,19.81,0
1.86,43.09,17.09,0
1.86,41.97,16.66,0
2.17,40.38,19.24,0
1.88,41.22,15.29,0
2,44.12,17.35,0
2.13,41.54,17.37,0
2.01,40.61,19.77,0
1.88,41.97,15.96,0
2.12,41.31,19.26,0
1.97,42.44,16.84,0
2.13,41.28,15.36,0
2.41,42.44,17.03,0
2.17,40.54,17.35,0
2.15,42.04,18.02,0
2.25,40.06,19.75,0
2.11,41.58,15.02,0
1.94,42.46,16.01,0
1.95,43.22,17.19,0
2.16,41.85,18.44,0
1.89,44.32,19.53,0
2.18,44.41,17.94,0
1.85,40.85,19.6,0
1.91,41.96,15.74,0
1.93,43.32,19.8,0
2.14,41.18,17.21,0
1.93,41.89,19.58,0
2.19,42.72,16.23,0
1.82,42.94,17.05,0
2.16,41.8,16.3,0
2.03,43.72,19.4,0
2.05,40.22,17.63,0
1.98,40.59,17.73,0
2.06,43.03,18.95,0
1.96,42.92,16.93,0
1.97,44.18,17.91,0
2.35,41.4,18.64,0
2.06,43.92,15.4,0
2.12,41.49,17.18,0
1.89,40.69,19.62,0
2.14,42.26,15.94,0
1.93,40.11,18.96,0
2.04,41.91,19.84,0
1.98,40.87,19.21,0
2.12,40.03,17.77,0
2.09,44.08,19.37,0
2.07,41.79,16.57,0
2.18,40.64,17.73,0
1.85,43.25,15.82,0
2.16,43.53,15.57,0
2.02,43.77,17.67,0
1.86,40.16,16.14,0
2.06,43.38,19.83,0
1.86,40.21,19.9,0
1.91,41.52,17.88,0
1.96,43.09,18.81,0
1.81,41.22,19.23,0
1.86,43.9,18.92,0
2.15,44,15.76,0
1.83,43.95,19.12,0
1.9,40.29,17.37,0
1.97,44.57,15.67,0
2.06,40.65,16.73,0
2.1,43.38,17.87,0
2.18,41.38,17.17,0
1.91,41.12,16.03,0
2.06,43.67,15.45,0
1.99,42.24,16.77,0
2.06,44.13,18.96,0
2.06,40.31,16.07,0
2.09,44.6,18.3,0
1.81,42.44,18.86,0
2.1,44.12,18.03,0
2.11,42.68,19.08,0
2.14,40.79,17.48,0
2.19,41.01,19.21,0
2.14,43.8,15.71,0
1.81,42.79,17.96,0
1.85,43.14,16.29,0
1.94,43.97,17.83,0
1.83,44.36,17.42,0
1.96,41.51,17.4,0
2.14,40.97,17.59,0
2.14,41.35,15.32,0
1.99,41.64,16.64,0
2.16,40.84,17.73,0
2.06,44.13,15.84,0
2.13,43.46,18.62,0
2.12,42.54,15.44,0
1.86,40.15,19.64,0
2.34,40.29,19.12,0
1.95,41.17,19.22,0
1.97,42.58,15.72,0
2.09,44.99,16.64,0
2.3,44.25,16.73,0
1.97,41.2,15.53,1
2.08,42.13,16.86,1
1.89,44.62,18.19,1
1.95,42.55,15.59,1
2.43,44.54,15.44,1
2.17,44.47,18.97,1
2.13,44.82,19.18,1
2.17,40.9,15.25,1
2.1,40.32,16.56,1
1.92,40.52,18.32,1
2.05,43.13,17.52,1
2.35,42.55,19.59,1
1.94,41.86,17.36,1
2.08,40.43,18.42,1
1.9,43.54,15.77,1
1.92,41.44,19.29,1
2.02,40.79,16.97,1
1.83,44.54,19.1,1
2.09,43,18.03,1
2.1,40.38,17.96,1
2.07,43.85,18.01,1
1.91,44.04,16.68,1
2.14,44.09,19.28,1
2.12,44.26,13.62,1
1.96,40.54,19.21,1
2.09,41.49,16.66,1
2.16,41.08,18.16,1
2.13,44.19,19.89,1
1.83,40.16,15.83,1
2.3,43.76,15.2,1
1.89,41.12,15.82,1
2.06,42.72,13.71,1
1.84,44.95,18.47,1
1.92,40.87,19.85,1
2.17,41.07,18.3,1
1.96,41.68,16.42,1
2.17,40.09,15.44,1
2.02,40.16,16.33,1
2.07,40.46,15.31,1
1.89,42.89,17.56,1
2.11,42.95,18.45,1
1.91,40.4,18.99,1
1.83,41.08,17.99,1
2.19,41.63,16.24,1
1.99,44.23,16.17,1
1.81,40.82,16.59,1
2.07,44.55,17.72,1
2.09,44.85,18.88,1
1.84,42.55,15.72,1
1.95,41.79,15.3,1
1.89,44.43,15.55,1
1.81,43.48,16.8,1
1.93,40.23,19.82,1
1.98,43.19,19.15,1
2.13,43.85,18.1,1
2.04,40.43,15.61,1
2.15,41.28,15.73,1
2.03,41.97,16.09,1
1.98,41.34,15.72,1
1.84,41.49,17.1,1
2.1,40.91,17.29,1
1.94,43.6,19.45,1
1.81,41.79,16.95,1
1.97,40.44,19.51,1
1.84,43.9,18.44,1
2.02,42.84,17.54,1
2.04,40.26,16.71,1
1.92,35.46,15.49,1
1.87,40.09,16.01,1
2.15,44.25,19,0
1.97,43.15,17.3,0
2.03,40.52,19.62,0
1.94,41.9,17.79,0
1.96,43.76,17.3,0
1.95,41,18.05,0
1.97,44.61,19.4,0
1.9,41.41,18.44,0
2.11,40.19,18.94,0
1.9,42.94,19.84,0
2.09,44.5,11.92,0
2.18,40.2,17.05,0
1.93,41.37,18.24,0
2.07,41.26,15.56,0
1.99,44.24,16.22,0
1.95,43.75,16.65,0
1.84,41.4,17.64,0
2.08,40.07,19.49,0
1.96,41.14,19.72,0
2.11,43.65,17.17,0
2.04,43.7,18.5,0
1.91,44.04,17.29,0
1.92,42.14,15.05,0
1.99,42.55,18.85,0
1.94,41.34,17.53,0
1.86,41.38,18.23,0
2.11,41.89,16.6,0
2,43.14,15.74,0
1.99,41.99,15.87,0
1.92,40.7,17.11,0
2.11,43.94,16.25,0
2.01,43.07,18.74,0
2.02,42.08,17.33,0
2.15,41.85,18.34,0
2.02,43.11,15.4,0
2.18,40.66,17.11,0
2.19,40.11,15.88,0
1.97,42.04,18.27,0
1.98,42.67,15.18,0
2.18,41.74,17.63,0
1.99,41.45,19.77,0
1.84,40.71,15.02,0
2.12,40.24,19.94,0
2.06,43.83,17.4,0
2.18,40.35,15.08,0
1.91,44.59,16.23,0
2.15,41.24,17.01,0
2.02,42.93,16.12,0
2.16,44.61,19.12,0
1.86,44.45,17.04,0
1.86,40.64,17.34,0
1.84,44.37,18.22,0
1.81,43.69,18.44,0
2.06,43.14,17.02,0
1.81,42.85,18.56,0
1.99,40.63,18.14,0
1.99,43.09,19.94,0
2,41.84,18.34,0
2.11,41.14,18.12,0
1.82,41.37,15.94,0
1.98,43.43,16.77,0
1.95,42.99,17.19,0
2.19,43.8,16.64,0
2.17,42.29,16.42,0
1.99,40.76,19.63,0
2.13,40.7,19.84,0
1.94,43,19.5,0
2.05,44.31,16.73,0
1.92,40.72,18.51,0
2.17,41.7,17.06,0
2.15,40.21,18.4,0
2.12,43.79,19.46,0
2.07,41.72,16.33,0
1.85,42.37,16.37,0
2.02,43.17,19.78,0
2.02,42.57,15.32,0
1.98,40.61,18.43,0
2.16,41.04,15.14,0
1.9,43.17,17.93,0
2.18,43.35,17.94,0
1.84,42.34,18.89,0
2.04,43.41,17.7,0
1.9,42.12,18.47,0
1.87,41.8,15.59,0
2.15,41.77,18.36,0
1.85,42.16,16.38,0
1.92,41.52,19.47,0
1.96,43.78,19.86,0
2.16,43.67,19.31,0
2.16,41.43,18.35,0
2.13,41.21,16.5,0
1.9,44.77,17.83,0
1.9,41.24,16.21,0
1.86,44.9,16.12,0
2.15,40.86,15.31,0
2.11,43.83,18.28,0
2.11,43.24,17.57,0
2.17,41.23,17.82,0
2.18,41.66,15.92,0
1.94,41.35,18.19,0
2.17,41.75,18.56,0
1.94,44.69,18.15,0
1.96,44.88,19.53,0
1.89,42.08,19.16,0
2.11,43.03,18.19,0
2.19,43.06,19.73,0
2,42.6,17.41,0
1.87,42.63,19.15,0
1.85,42.27,16.42,0
1.83,43.32,19.87,0
1.84,43.51,16.46,0
1.81,41.14,19.63,0
2.1,42.09,15.08,0
1.9,42.91,19.33,0
2.19,43.17,15.45,0
1.92,43.74,18,0
2.12,41.26,15.88,0
2.14,43.45,19.06,0
2,42.61,17.94,0
2.06,42.03,17.13,0
1.84,44.68,18.05,0
2.05,41.05,16.61,0
1.89,44.56,19.12,0
2.47,43.03,18.19,0
1.81,43.74,16.42,0
1.87,42.63,17.27,0
1.87,42.55,17.6,0
1.99,44.1,18.52,0
2.35,44.3,17.02,0
1.91,43.7,16.29,0
2.04,43.49,18.7,0
1.81,41.38,17.09,0
2.18,43.38,12.99,0
2.11,42.93,16.21,0
1.89,44.97,15.78,0
2.19,43.7,16.44,0
2.17,40.77,16.5,0
1.97,43.69,15.47,0
1.82,42.14,19.27,0
1.82,42.71,15.57,0
1.93,41.35,18.1,0
2.17,42.29,15.47,0
1.95,40.9,15.39,0
2.01,43.43,18.66,0
2.02,41.67,16.96,0
2.07,42.19,15.26,0
2.04,44.83,18.06,0
2.07,43.05,17.93,0
2.17,41.04,16.61,0
1.85,40.06,15.15,0
2,40.81,15.38,0
2.01,44.42,16.74,0
2.09,44.19,18.57,0
1.93,42.08,17.75,0
1.98,43.5,17.45,0
2.07,42.77,16.83,0
1.93,43.88,19.62,0
2.09,43.35,19.09,0
2.11,41.02,16.62,0
1.97,42.53,16.62,0
1.9,41.47,17.17,0
2.15,43.02,16.33,0
1.82,41.13,17.1,0
2.16,42.89,19.31,0
2.04,42.91,15.44,0
2.07,40.51,19.9,0
1.99,44.9,18.17,0
2.12,42.88,19.86,0
1.97,43.53,16.24,0
1.84,44.42,18.55,0
2.09,40.81,15.17,0
1.91,41.24,15.25,0
1.85,44.14,15.48,0
2.05,44.61,17.03,0
1.89,43.89,19.69,0
1.85,42.95,16.07,0
1.98,42.2,19.17,0
2.16,44,17.57,0
2.11,41.78,17.53,0
2.13,41.86,19.47,0
2.16,40.74,15.8,0
1.86,40.23,19.55,0
2.01,41.11,15.76,0
1.87,41.6,16.58,0
2.02,42.88,17.61,0
1.93,44.68,17.44,0
2.06,41.28,17.33,0
1.99,42.38,15.63,0
1.96,42.38,19.38,0
2.1,42.73,18.23,0
2.06,42.48,15.44,0
1.83,40.14,18.46,0
2.11,42.72,16.02,0
1.93,44.21,18.25,0
2.17,43.39,16.57,0
2.11,43.44,17.63,0
1.97,44.66,19.55,0
2.11,41.99,16.83,0
1.98,43.07,19.8,0
1.99,42.84,15.02,0
1.87,42.52,15.76,0
2.03,41.08,15.39,0
2.12,42.27,16.38,0
2.19,42.94,16.82,0
1.83,43.6,18.24,0
2.13,43.76,16.11,0
1.86,42.21,16.27,0
2.03,42.48,18.13,0
2.06,42.07,16.56,0
1.86,42.05,17.72,0
1.86,40.59,19.73,0
2.05,44.55,15.86,0
1.95,40.49,17.65,0
2.19,40.48,16.9,0
1.99,42.75,18.16,0
1.85,41.84,15.3,0
2.14,44.89,18.58,0
2.13,42.93,19.1,0
2.19,41.26,18.93,0
2.49,43.39,16.24,0
2.02,42.58,16.71,0
2.16,42.6,18.57,0
2.1,42.19,19.23,0
2.19,41.18,18.1,0
2.17,43.97,15.28,0
2.02,44.19,18.18,0
2.07,42.17,19.74,0
2.1,40.72,17.61,0
2.14,40.28,16.7,0
2.04,40.82,16.26,0
1.83,40.77,16.67,0
2.09,42.32,15.32,0
1.9,43.49,15.24,0
2.49,43.39,16.24,0
1.81,41.71,17.62,0
2.49,43.39,16.24,0
2.18,43.67,15.21,0
1.9,41.6,17.24,0
2.13,42.5,19.68,0
2.18,41.27,17.56,0
2.01,44.87,16.49,0
2.49,43.39,16.24,0
2.08,43.72,18.41,0
2.17,43.4,17.26,0
1.92,40.23,18.1,0
1.84,41.67,17.79,0
1.98,43.69,16.97,0
2,42.66,16.88,0
1.94,40.51,18.1,0
1.99,43.65,15.32,0
2.16,44.41,15.84,0
1.99,43.05,15.15,0
2.12,44.91,18.19,0
1.89,41.46,16.88,0
2.07,41.84,17.78,0
2.07,42.74,17.52,0
1.81,44.5,17.21,0
2.04,42.31,19.92,0
1.95,40.91,15.63,0
1.96,40.32,15.86,0
1.97,44.86,19.71,0
1.92,40.06,15.73,0
1.92,44.39,19.5,0
2.12,42.21,18.69,0
2.14,41.13,16.88,0
1.86,40.18,17.77,0
2.16,40.45,18.36,0
2.01,41.77,19.3,0
2.04,44.13,15.06,0
2.03,43.18,17.27,0
2.18,41.25,18.88,0
1.87,44.78,18.2,0
2.14,43.93,18.4,0
2.13,41.22,17.63,0
2.1,42.71,19.09,0
1.82,41.84,15.33,0
2.05,40.19,15.53,0
1.95,40.94,15.89,0
2.18,44.57,19.86,0
1.95,41.02,17.82,0
1.86,40.16,16.06,0
1.91,44.1,18.55,0
2.06,43.51,17.07,0
1.97,44.73,15.24,0
2.05,44.71,18.19,0
2.06,40.14,17.46,0
1.87,42.6,15.64,0
2.13,43.34,19.17,0
2.1,43.87,17.93,0
2.03,40.07,15.94,0
1.94,42.02,18.68,0
2.01,44.64,15.87,0
1.98,44.73,18.49,0
1.82,42.03,17,0
2.02,41.01,16.98,0
2.1,42.05,16.49,0
1.9,42.43,19.03,0
2.12,44.28,18.16,0
2.15,44.58,16.86,0
2.04,40.4,17.75,0
1.94,43.82,15.74,0
1.91,41.46,15.52,0
2.08,43.15,17.75,0
2.16,44.28,18.85,0
2.15,42.89,17.17,0
1.95,40.93,16.47,0
2.12,44.23,15.3,0
1.9,40.6,15.54,0
2.05,43.13,15.14,0
2.16,41.15,16.12,0
2.13,41.27,18.36,0
2.04,43.16,16.51,0
2.02,41.83,17.21,0
1.95,43.58,15.07,0
1.89,42.23,17.25,0
1.95,41.12,18.09,0
1.81,40.68,15.72,0
1.99,43.54,15.37,0
2.05,41.03,17.01,0
1.99,43.26,19.97,0
1.96,44,17.98,0
2.01,42.63,15.86,0
2.18,42.94,17.86,0
1.83,43.29,15.47,0
2.12,42.82,16.93,0
2.09,43.98,19.46,0
1.96,40.02,15.18,0
2.18,40.59,17.28,0
2.1,40.24,17.32,0
1.93,41.57,19.72,0
2,43.25,19.35,0
1.97,40.93,15.92,0
1.83,43.87,17.31,0
1.81,41.18,17.15,0
2.07,40.45,16.19,0
1.92,41.95,17.44,0
1.81,42.76,18.71,0
2.05,43.28,17.83,0
2.19,42.34,15.65,0
2.18,41.49,17.74,0
2.01,40.56,17.61,0
2.04,44.71,16.27,0
1.86,40.85,16.08,0
1.86,42.92,17.02,0
1.87,42.27,16.66,0
1.89,40.82,17.74,0
1.88,41.89,18.12,0
2.05,44.57,19.64,0
2.19,40.83,18.15,0
2.14,41.95,16.92,0
1.86,42.79,19.22,0
2.18,42.23,17.81,0
1.99,42.34,17.63,0
1.88,44.08,19.14,0
1.85,44.57,16.71,0
2.08,44.76,15.93,0
2,40.36,18.75,0
1.83,43.36,19.63,0
2.48,41.18,17.72,0
1.88,41.49,16.73,0
2.07,40.4,19.79,0
1.91,41.73,17.28,0
2.1,42.46,19.06,0
1.84,40.59,15.79,0
1.86,41.73,15.79,0
1.98,40.18,17.63,0
2.04,44.92,17.11,0
1.99,43.58,15.31,0
1.93,42.73,17.39,0
2.19,44.09,19.98,0
2.18,40.21,17.9,0
2.06,40.49,19.2,0
2.04,41.7,15.1,0
2.03,40.84,15.19,0
1.82,42.44,19.3,0
1.98,40.1,16.57,0
1.87,44.45,15.77,0
2.15,44.15,17.74,0
1.86,43.49,18.01,0
2.08,42.3,19.84,0
2.09,43.43,16.28,0
2.13,42.1,19.8,0
1.89,41.16,17.52,0
2.19,40.93,15.62,0
1.97,41.49,16.2,0
2.06,41.21,19.1,0
1.96,40.17,16.11,0
2.03,42.61,16.72,0
2.15,43.99,15.86,0
2.19,43.82,17.68,0
2.16,41.94,15.31,0
1.84,41.81,18.42,0
1.97,40.46,15.06,0
2.18,43,16.71,0
1.94,43.15,19.55,0
1.82,40.68,15.36,0
1.81,43.87,16,0
2.02,42.38,16.35,0
2.1,44.31,16.45,0
1.92,42.97,18.48,0
2.08,44.92,18.14,0
1.86,43.04,17.62,0
2.38,36.62,11.51,0
2.15,41.1,16.2,0
2.43,44.58,16.83,0
1.95,41.95,18.61,0
1.83,41.24,16.66,0
1.95,42.93,19.67,0
1.82,43.8,16.43,0
1.97,42.94,19.1,0
1.81,42.43,18.02,0
1.87,42.54,17.79,0
2.09,41.47,15.88,0
2.11,41.12,19.53,0
2.1,41.91,16.53,1
2.11,40.77,17.62,1
1.93,43.21,19.53,1
2.02,42.39,15.01,1
2.04,44.53,17.73,1
1.91,41.85,15.06,1
2.02,42.06,15.23,1
1.82,42.68,19.92,1
2.23,42.04,16.09,1
2.03,40.71,15.74,1
1.98,40.19,16.29,1
1.88,43.84,16.28,1
1.91,43.45,15.14,1
1.81,44.77,17.63,1
1.82,43.96,16.59,1
1.94,44.11,15.36,1
2.15,40.39,16.64,1
1.97,42.24,18.52,1
1.96,44.69,19.52,1
2.19,43.48,19.56,1
1.99,43,16.81,1
1.94,43.65,17.72,1
1.86,40.61,19.2,1
2.1,43.49,16.83,1
2.21,36.16,17.59,1
2.13,43.45,19.98,1
2.03,43.57,17.21,1
2.12,42.22,18.85,1
1.88,44.68,18.98,1
2.05,43.12,19.55,1
1.93,44.62,16.66,1
2.01,40.22,17.25,1
2.07,41.35,19.38,1
1.99,41.66,17.99,1
2.18,40.17,19.07,1
1.95,43.27,18.4,1
2.02,43.95,16.27,1
2.14,43.99,15.84,1
1.91,40.87,15.69,1
1.9,41.77,19,1
1.83,42.73,18.98,1
1.91,42.34,17.73,1
2.41,37.89,13.63,1
2.19,44.8,17.73,1
2.01,42.78,16.96,1
1.88,42.64,19.65,1
1.97,44.01,16.1,1
2.48,44.28,18.44,1
2.08,44.94,17.76,1
1.85,44.91,17.77,1
1.83,43.25,16.66,1
1.97,42.48,16.37,1
2.13,43.74,17.69,1
1.97,40.03,13.96,1
2.46,35.43,13.55,1
2.18,44.29,19.9,1
2.05,42.22,18.83,1
1.82,43.76,19.47,1
2.17,44.87,16.92,1
2.15,43.37,18.96,1
2.09,43.76,19.13,1
1.92,44.55,17.68,1
2.14,44.13,18.44,1
2.17,41.53,15.97,1
2.01,43.82,16.73,1
1.9,41,17.32,1
2.1,44.04,19.56,1
2.01,42.51,17.66,1
1.89,41.84,15.45,1
1.87,40.19,15.93,0
1.84,44.38,19.23,0
2.06,43.62,17.41,0
1.98,41.82,19.87,0
2.14,41.45,17.76,0
2.49,43.39,16.24,0
2.17,41.33,16.13,0
1.97,44.99,17.64,0
1.87,43.5,18.32,0
2.03,44.45,17.17,0
1.93,42.66,18.01,0
2.11,41.84,17.6,0
1.83,40.63,18.75,0
2.13,42.68,17.91,0
2.09,40.58,18.87,0
1.87,42.87,18.58,0
